timestamp;[Grad­minuter][][40941];
2025-11-24T23:00:26+00:00;-1102;
2025-11-24T23:01:26+00:00;-1102;
2025-11-24T23:03:26+00:00;-1103;
2025-11-24T23:04:26+00:00;-1104;
2025-11-24T23:05:26+00:00;-1105;
2025-11-24T23:06:26+00:00;-1106;
2025-11-24T23:07:26+00:00;-1107;
2025-11-24T23:08:26+00:00;-1107;
2025-11-24T23:09:26+00:00;-1106;
2025-11-24T23:10:26+00:00;-1105;
2025-11-24T23:11:26+00:00;-1103;
2025-11-24T23:12:26+00:00;-1104;
2025-11-24T23:13:26+00:00;-1106;
2025-11-24T23:14:26+00:00;-1108;
2025-11-24T23:15:26+00:00;-1110;
2025-11-24T23:16:26+00:00;-1118;
2025-11-24T23:17:26+00:00;-1128;
2025-11-24T23:18:26+00:00;-1139;
2025-11-24T23:19:26+00:00;-1149;
2025-11-24T23:20:26+00:00;-1160;
2025-11-24T23:21:26+00:00;-1171;
2025-11-24T23:22:27+00:00;-1177;
2025-11-24T23:23:27+00:00;-1181;
2025-11-24T23:24:27+00:00;-1185;
2025-11-24T23:25:27+00:00;-1190;
2025-11-24T23:26:27+00:00;-1195;
2025-11-24T23:27:28+00:00;-1201;
2025-11-24T23:28:28+00:00;-1207;
2025-11-24T23:29:28+00:00;-1212;
2025-11-24T23:30:28+00:00;-1217;
2025-11-24T23:31:28+00:00;-1222;
2025-11-24T23:32:27+00:00;-1227;
2025-11-24T23:33:27+00:00;-1232;
2025-11-24T23:34:27+00:00;-1237;
2025-11-24T23:35:27+00:00;-1242;
2025-11-24T23:36:27+00:00;-1246;
2025-11-24T23:37:27+00:00;-1251;
2025-11-24T23:38:27+00:00;-1255;
2025-11-24T23:39:27+00:00;-1259;
2025-11-24T23:40:27+00:00;-1264;
2025-11-24T23:41:27+00:00;-1268;
2025-11-24T23:42:27+00:00;-1273;
2025-11-24T23:43:27+00:00;-1277;
2025-11-24T23:44:48+00:00;-1286;
2025-11-24T23:45:48+00:00;-1290;
2025-11-24T23:46:48+00:00;-1294;
2025-11-24T23:47:48+00:00;-1298;
2025-11-24T23:48:48+00:00;-1303;
2025-11-24T23:49:48+00:00;-1307;
2025-11-24T23:50:48+00:00;-1311;
2025-11-24T23:51:48+00:00;-1316;
2025-11-24T23:52:48+00:00;-1320;
2025-11-24T23:53:48+00:00;-1324;
2025-11-24T23:54:48+00:00;-1328;
2025-11-24T23:55:48+00:00;-1332;
2025-11-24T23:56:48+00:00;-1336;
2025-11-24T23:57:48+00:00;-1341;
2025-11-24T23:58:48+00:00;-1345;
