timestamp;[Degree minutes][][40941];
2025-11-23T23:00:09+00:00;-216;
2025-11-23T23:01:09+00:00;-217;
2025-11-23T23:02:09+00:00;-219;
2025-11-23T23:04:09+00:00;-223;
2025-11-23T23:06:09+00:00;-228;
2025-11-23T23:07:09+00:00;-231;
2025-11-23T23:08:09+00:00;-233;
2025-11-23T23:10:09+00:00;-238;
2025-11-23T23:12:09+00:00;-243;
2025-11-23T23:13:09+00:00;-245;
2025-11-23T23:15:09+00:00;-250;
2025-11-23T23:16:09+00:00;-252;
2025-11-23T23:18:09+00:00;-255;
2025-11-23T23:20:09+00:00;-259;
2025-11-23T23:21:09+00:00;-261;
2025-11-23T23:22:09+00:00;-262;
2025-11-23T23:24:09+00:00;-265;
2025-11-23T23:25:09+00:00;-267;
2025-11-23T23:27:09+00:00;-271;
2025-11-23T23:28:09+00:00;-273;
2025-11-23T23:30:09+00:00;-276;
2025-11-23T23:32:09+00:00;-279;
2025-11-23T23:33:09+00:00;-280;
2025-11-23T23:35:09+00:00;-283;
2025-11-23T23:37:09+00:00;-285;
2025-11-23T23:38:09+00:00;-286;
2025-11-23T23:39:09+00:00;-287;
2025-11-23T23:41:09+00:00;-289;
2025-11-23T23:43:08+00:00;-290;
2025-11-23T23:45:08+00:00;-291;
2025-11-23T23:46:08+00:00;-291;
2025-11-23T23:48:08+00:00;-292;
2025-11-23T23:49:08+00:00;-292;
2025-11-23T23:53:29+00:00;-292;
2025-11-23T23:55:29+00:00;-291;
2025-11-23T23:56:29+00:00;-291;
2025-11-23T23:58:29+00:00;-290;
2025-11-24T00:01:29+00:00;-287;
2025-11-24T00:02:29+00:00;-286;
2025-11-24T00:03:29+00:00;-286;
2025-11-24T00:05:29+00:00;-284;
2025-11-24T00:07:29+00:00;-282;
2025-11-24T00:09:29+00:00;-280;
2025-11-24T00:10:29+00:00;-279;
2025-11-24T00:11:29+00:00;-277;
2025-11-24T00:13:29+00:00;-274;
2025-11-24T00:15:29+00:00;-271;
2025-11-24T00:16:29+00:00;-269;
2025-11-24T00:17:29+00:00;-268;
2025-11-24T00:19:29+00:00;-264;
2025-11-24T00:20:29+00:00;-262;
2025-11-24T00:22:29+00:00;-258;
2025-11-24T00:23:29+00:00;-256;
2025-11-24T00:25:29+00:00;-252;
2025-11-24T00:27:29+00:00;-248;
2025-11-24T00:28:29+00:00;-246;
2025-11-24T00:30:29+00:00;-242;
2025-11-24T00:32:29+00:00;-238;
2025-11-24T00:33:29+00:00;-236;
2025-11-24T00:34:29+00:00;-234;
2025-11-24T00:36:29+00:00;-229;
2025-11-24T00:38:29+00:00;-225;
2025-11-24T00:39:29+00:00;-226;
2025-11-24T00:41:29+00:00;-231;
2025-11-24T00:42:29+00:00;-234;
2025-11-24T00:44:29+00:00;-241;
2025-11-24T00:46:29+00:00;-249;
2025-11-24T00:47:29+00:00;-250;
2025-11-24T00:50:29+00:00;-250;
2025-11-24T00:51:29+00:00;-250;
2025-11-24T00:52:49+00:00;-250;
2025-11-24T00:54:49+00:00;-249;
2025-11-24T00:55:49+00:00;-249;
2025-11-24T00:57:49+00:00;-248;
2025-11-24T00:59:49+00:00;-246;
2025-11-24T01:00:50+00:00;-246;
2025-11-24T01:02:50+00:00;-244;
2025-11-24T01:03:50+00:00;-243;
2025-11-24T01:05:50+00:00;-241;
2025-11-24T01:06:50+00:00;-240;
2025-11-24T01:08:50+00:00;-237;
2025-11-24T01:09:50+00:00;-236;
2025-11-24T01:11:50+00:00;-234;
2025-11-24T01:12:50+00:00;-232;
2025-11-24T01:14:50+00:00;-229;
2025-11-24T01:16:50+00:00;-226;
2025-11-24T01:18:50+00:00;-224;
2025-11-24T01:19:50+00:00;-222;
2025-11-24T01:21:50+00:00;-219;
2025-11-24T01:22:50+00:00;-218;
2025-11-24T01:23:50+00:00;-216;
2025-11-24T01:25:50+00:00;-213;
2025-11-24T01:26:50+00:00;-212;
2025-11-24T01:28:50+00:00;-210;
2025-11-24T01:29:50+00:00;-209;
2025-11-24T01:32:50+00:00;-205;
2025-11-24T01:33:50+00:00;-204;
2025-11-24T01:34:50+00:00;-202;
2025-11-24T01:36:50+00:00;-200;
2025-11-24T01:37:50+00:00;-198;
2025-11-24T01:39:50+00:00;-196;
2025-11-24T01:41:50+00:00;-193;
2025-11-24T01:42:49+00:00;-192;
2025-11-24T01:43:49+00:00;-191;
2025-11-24T01:45:49+00:00;-188;
2025-11-24T01:47:49+00:00;-186;
2025-11-24T01:48:49+00:00;-185;
2025-11-24T01:50:49+00:00;-183;
2025-11-24T01:52:13+00:00;-182;
2025-11-24T01:54:10+00:00;-180;
2025-11-24T01:55:10+00:00;-178;
2025-11-24T01:57:10+00:00;-177;
2025-11-24T01:59:10+00:00;-175;
2025-11-24T02:00:11+00:00;-174;
2025-11-24T02:01:11+00:00;-173;
2025-11-24T02:03:11+00:00;-171;
2025-11-24T02:05:11+00:00;-170;
2025-11-24T02:07:11+00:00;-169;
2025-11-24T02:08:11+00:00;-168;
2025-11-24T02:09:11+00:00;-169;
2025-11-24T02:11:11+00:00;-170;
2025-11-24T02:12:11+00:00;-170;
2025-11-24T02:14:11+00:00;-171;
2025-11-24T02:15:11+00:00;-171;
2025-11-24T02:17:11+00:00;-172;
2025-11-24T02:18:11+00:00;-172;
2025-11-24T02:20:11+00:00;-173;
2025-11-24T02:22:11+00:00;-174;
2025-11-24T02:23:11+00:00;-174;
2025-11-24T02:25:11+00:00;-175;
2025-11-24T02:26:11+00:00;-175;
2025-11-24T02:28:11+00:00;-175;
2025-11-24T02:30:10+00:00;-176;
2025-11-24T02:32:10+00:00;-176;
2025-11-24T02:33:10+00:00;-177;
